init,lead_h,forecast_time,lon_fc,lat_fc,mslp_fc,lon_obs,lat_obs,mslp_obs,erro_km
2023030900,0,2023030900,-85.5587,-6.4319,1009.57,-85.5587,-6.4319,1009.57,0.00
2023030900,6,2023030906,-85.7371,-6.9672,1011.68,,,,
2023030900,12,2023030912,-85.3803,-6.1643,1011.26,,,,
2023030900,18,2023030918,-85.2911,-7.0564,1011.10,,,,
2023030900,24,2023031000,-85.3803,-7.2348,1010.33,-85.7371,-7.2348,1009.00,39.36
2023030900,30,2023031006,-84.8451,-7.7700,1010.95,,,,
2023030900,36,2023031012,-84.6667,-8.5728,1011.42,,,,
2023030900,42,2023031018,-85.2019,-9.2864,1010.89,,,,
2023030900,48,2023031100,-85.6479,-9.0188,1010.06,-84.0423,-8.9296,1007.95,176.63
2023030900,54,2023031106,-86.0047,-9.8216,1010.59,,,,
2023030900,60,2023031112,-86.0047,-10.7136,1011.02,,,,
2023030900,66,2023031118,-86.8967,-10.8028,1011.21,,,,
2023030900,72,2023031200,-87.7887,-10.9812,1010.23,-84.1315,-10.5352,1008.66,402.58
2023030900,78,2023031206,-88.0564,-10.8028,1011.35,,,,
2023030900,84,2023031212,-88.5024,-10.7136,1011.56,,,,
2023030900,90,2023031218,-89.0376,-10.6244,1011.66,,,,
2023030900,96,2023031300,-89.3944,-9.9108,1011.19,,,,
2023030900,102,2023031306,-89.8404,-10.5352,1012.26,,,,
2023030900,108,2023031312,-90.5540,-10.5352,1012.41,,,,
2023030900,114,2023031318,-91.4460,-10.6244,1012.77,,,,
2023030900,120,2023031400,-92.3380,-10.5352,1012.01,,,,
