z,T,p,u,v,U,theta,N,l2,Ri
75.0,11.2,1009.0,-0.0,-0.0,0.0,283.622289868455,0.025411567725376998,509.44996354500677,0.29835899220819395
118.0,11.6,1004.0,-0.6511363089143134,-1.8910371511986337,2.0,284.4250812939168,0.01888925572614661,4.8403235530525277e-05,0.1276229710636264
153.0,11.4,1000.0,-2.294305745404184,-3.276608177155967,3.9999999999999996,284.54999999999995,0.011014383044180634,1.7544575288658159e-06,0.042732167054039275
536.0,8.8,955.0,6.4278760968653925,7.66044443118978,10.0,285.6874315986015,0.010022495746866663,6.931126495247631e-06,0.7204377577572137
712.0,7.6,935.0,7.071067811865475,7.071067811865477,10.000000000000002,286.19869175661097,0.010098739115133521,-1.2227174922553134e-05,0.1342466129480928
801.0,7.0,925.0,9.0630778703665,4.226182617406992,10.0,286.4666644318961,0.01056982203151251,-1.816884814991215e-05,0.0470563404922693
863.0,6.6,918.0,11.817693036146496,2.083778132003164,11.999999999999998,286.67979707012114,0.010623817290557877,-1.1648927127541402e-05,0.042554757202897024
1181.0,4.3,883.0,17.38666487320323,-4.658742811845365,18.0,287.5014027017377,0.009485126020571166,7.490545847186462e-06,0.09431054885381425
1349.0,3.1,865.0,23.635386072292995,-4.167556264006319,24.0,287.9490698324867,0.009336682639272701,1.265268669399899e-05,0.1476081469953373
1473.0,2.2,852.0,17.82013048376736,-9.079809994790933,20.000000000000004,288.25666432336527,0.02525202202851287,5.067282960690006e-06,0.12034953673842035
1492.0,2.4,850.0,16.454482671904334,-9.500000000000002,19.0,288.6599968900322,0.025763624936985523,1.6605596685574314e-06,0.12997470170412143
1653.0,1.6,833.0,9.899494936611667,-9.899494936611664,14.0,289.48977631428687,0.01311708499373025,-1.2006947770966438e-05,0.18372737593881386
2055.0,-0.5,792.0,10.565456543517481,-22.65769467591625,25.0,291.45405369271407,0.012893544788472409,-1.0680099627709574e-06,0.4756395237079756
2586.0,-3.2,741.0,6.211657082460496,-23.18221983093764,24.000000000000004,294.1137471607044,0.012934789219212714,1.626504718588571e-07,3.6919614012311817
3040.0,-5.5,700.0,14.500000000000012,-25.114736709748712,28.999999999999996,296.39386380811646,0.012893724842777033,-2.7920518662984415e-07,0.46827298937416806
3382.0,-7.3,670.0,20.07517527228663,-28.670321550114704,35.0,298.11187156601596,0.011586600978871583,-3.8427032182062096e-08,0.352513047329843
3895.0,-11.1,627.0,29.44174667978976,-32.698372321005344,44.0,299.478498726565,0.00908903620599553,8.21938432523454e-07,0.19348349046568536
4117.0,-12.8,609.0,33.941125496954285,-33.94112549695427,47.99999999999999,300.0247180712194,0.008589421523388784,-5.611274720931905e-07,1.1184390006547362
4255.0,-13.9,598.0,33.941125496954285,-33.94112549695427,47.99999999999999,300.31859703750933,0.008252604530241764,-1.5005408500659837e-06,0.207241776430024
4579.0,-16.5,573.0,51.324977688971536,-43.06676984899813,67.0,300.96018607220935,0.008882606183036683,-7.535529101892473e-06,0.024637847662440766
4606.0,-16.7,571.0,52.84592537907401,-42.79378659138895,68.0,301.02653278836385,0.011049673387422724,-6.501472937169509e-06,0.034622869547070945
4645.0,-16.9,568.0,55.177363263444924,-44.681747764538464,71.0,301.24527935380866,0.012943894811580212,-1.4618519608685513e-06,0.03801456884179741
4712.0,-17.3,563.0,59.09902774349968,-44.53431171325155,74.0,301.536590820476,0.016216731310602747,2.84672317603949e-06,0.07496725367789107
4860.0,-16.7,552.0,67.98961967598632,-47.606844217136825,83.0,303.9541848714324,0.022865966024448205,2.4358585513310217e-06,0.6018303965742693
5024.0,-16.1,540.0,67.15204337695837,-45.294625181130506,81.0,306.58647554039896,0.021017341856886827,2.3288366053135523e-06,1.8616669863663857
5600.0,-18.9,500.0,63.21985447626402,-36.50000000000001,73.0,309.99560766890005,0.012341726135096888,-1.273964681226945e-06,0.2133489954445944
5811.0,-20.2,486.0,64.34785287960214,-30.00589658358967,71.0,310.9257644260618,0.011340666253576047,-1.7543390817636424e-06,0.0978626790138117
5888.0,-20.7,481.0,67.19685430202816,-28.523372379716964,73.0,311.2303084780501,0.01129933385871317,-1.5333939971903373e-06,0.07233061136579669
6605.0,-24.9,436.0,92.64610692253234,-8.105484075532184,93.00000000000001,314.7720201111328,0.012402073028499693,-4.008163765573309e-08,0.14741725687644608
6983.0,-27.1,414.0,103.60424860154154,-9.06419724575642,104.0,316.63671542564094,0.009000153874705924,7.994164801444624e-08,0.08372051123039784
7230.0,-29.3,400.0,111.5738061862755,-9.761443187737683,112.00000000000001,316.90829172573433,0.009196624744935055,2.1591040853196277e-07,0.11051733314664694
7521.0,-31.1,384.0,117.12044589367599,-14.380582521807426,117.99999999999999,318.2631499469841,0.011770250443319167,4.912528731632293e-08,0.20529133591974663
7708.0,-32.3,374.0,119.51028921201167,-18.92857026986791,121.0,319.0842532886904,0.008577020737445002,-5.5177013206343174e-08,0.09591202206512742
7838.0,-33.5,367.0,122.1161613735138,-21.532374030699316,123.99999999999999,319.21474140345214,0.005366865394472377,-6.540255595068069e-09,0.04407247579129955
9220.0,-46.7,300.0,115.22250710242835,-20.316836787030805,117.0,319.5329479706203,0.002757301294509783,8.765864865540451e-08,0.014552162016848804
9510.0,-49.5,287.0,109.12944725594635,-25.194518086512872,112.0,319.605820630056,0.008843030128611665,-1.6262535114482123e-08,0.11339020366767383
10222.0,-52.5,257.0,93.96926207859083,-34.2020143325669,100.0,325.4341005956828,0.015421636798502168,-2.601608049396191e-07,0.12620631738198124
10400.0,-53.3,250.0,91.53708649070164,-42.68444443581066,101.00000000000001,326.8252691271586,0.015354656060713703,-1.6669134708120267e-07,0.17476301601416735
11075.0,-56.3,225.0,100.5471104240922,-36.59615533584658,107.0,332.22723083930543,0.024045874264358662,-2.950128655125303e-08,14.019590905036395
11190.0,-55.8,221.0,99.60741780330628,-36.25413519252091,106.0,334.7059665400009,0.02525103786858778,7.12837997489338e-08,2.2064468267848443
11672.0,-53.5,205.0,112.0,2.0574066225675533e-14,112.0,345.5967130994608,0.025714785227847353,6.693061539527013e-07,0.1335619118930943
11830.0,-52.7,200.0,103.60424860154154,9.064197245756457,104.0,349.3136239951827,0.02596813237759332,3.711676632961897e-07,0.18070782862465884
12373.0,-49.3,184.0,86.66893873398186,-7.582549619046237,87.0,363.26135731567877,0.026110849210021433,-7.795170988166243e-07,6.8234075799839236
12444.0,-48.9,182.0,87.6651334320736,-7.669705361793894,88.0,365.04973268191844,0.025371159557182294,-6.638522231721685e-07,3.2887641525645024
13323.0,-52.9,159.0,99.0,1.8186004967338195e-14,99.0,372.66305469570534,0.02295680173129018,8.776035852116373e-07,355.7400646344208
13364.0,-52.8,158.0,99.0,1.8186004967338195e-14,99.0,373.5056089133906,0.023338134254199047,8.789717093251872e-07,57.41950972992565
13700.0,-51.7,150.0,90.0,1.6532731788489267e-14,90.0,380.9900068515259,0.019483415609338892,-5.140301341200228e-07,0.4014160532344629
13918.0,-52.6,145.0,85.67274403589012,-7.495393876298579,86.0,383.1385166267834,0.015911992674219666,-6.096833968635608e-07,0.5209561730527155
14237.0,-53.9,138.0,97.62708041299106,-8.541262789270473,98.0,386.3084281589633,0.015716921437155477,1.2904499099207844e-06,0.9709721099579064
14331.0,-54.3,136.0,95.76614882494313,-6.696621479436021,96.0,387.2170064696137,0.016848513937595948,1.4494031942540686e-06,0.3473159569449477
14981.0,-52.7,123.0,78.6993811492479,6.885303677065002,79.0,401.4183683213274,0.023328495343390147,4.816777905630543e-07,0.14878582982049718
15304.0,-51.9,117.0,56.02369792476596,15.011504615946196,58.0,408.67881262348584,0.023312188403395582,3.3817038125418783e-07,0.14031424641009677
15881.0,-50.5,107.0,28.995583159535347,0.5061197866812215,29.0,421.90914510656245,0.018044705460060536,-2.2914663145484487e-06,0.11734684645750397
16128.0,-51.6,103.0,15.939115169467929,-1.3944918839625262,16.0,424.4243655292465,0.015140155943477424,-5.271201816308301e-06,0.15683595712170437
16320.0,-52.5,100.0,12.990381056766578,-7.500000000000002,15.0,426.28880914978424,0.012143005610434554,-5.572133589153785e-06,0.09300704524104064
16577.0,-54.8,96.0,-0.0,-12.0,12.0,426.79922643981166,0.007189181685674342,-5.7585268090780415e-06,0.020998577218216
16845.0,-57.1,92.0,-8.20848343981605,-22.552622898861802,24.0,427.47522741511517,0.0073284643153383065,-6.428573245576037e-07,0.055693661792419163
17396.0,-61.9,84.3,1.6741553698590153,-23.94153720623578,23.999999999999996,428.5584190713192,0.015361104040956253,1.3087174065433645e-06,0.6526403307560805
17418.0,-62.0,84.0,2.0917378259437998,-23.908672754201895,24.000000000000004,428.7925290582692,0.015681171262352845,1.203439433040971e-06,0.5883576965013627
17792.0,-63.4,79.0,17.20219293006883,-12.045105163371968,21.0,433.49153517584926,0.016795026811140153,-4.031581548276642e-07,0.20253501787835854
18530.0,-66.3,70.0,31.946929727270682,-22.369481017690795,39.0,442.5450483602288,0.0102172193983262,1.1328139372217546e-07,0.07230918631640751
18556.0,-66.5,69.7,32.76608177155967,-22.943057454041842,39.99999999999999,442.66056609677605,0.010896888539011187,2.1992529181759697e-07,0.08286130537199488
19169.0,-64.9,63.0,49.84692828701575,-23.24400439573848,55.00000000000001,459.1701135192927,0.02228204665176192,2.4836319813123325e-06,0.04479341769116661
19178.0,-64.9,62.9,50.24500017034306,-22.370515369168988,55.0,459.3787751816398,0.02254338209108687,2.4494505104566844e-06,0.04606349407812134
19473.0,-61.9,60.0,46.82115081031204,-4.096319909139921,47.0,472.3299231972613,0.030272243964046715,9.803092687303863e-07,0.9075737519201332
19794.0,-58.7,57.0,50.80592960267902,-4.444942880130553,50.99999999999999,486.57057511799866,0.030075954002889052,1.419465861779111e-06,2.459199891797583
20296.0,-53.7,52.6,18.169790363297672,5.555062389732005,19.0,509.48765140511017,0.020016765409370803,-3.2088841295764883e-06,0.09492370117946748
20493.0,-54.7,51.0,5.4378467222199,2.5357095704441948,6.0,511.6664941705545,0.014837060306138346,-2.2661260043619286e-05,0.15931658002954557
20620.0,-55.3,50.0,3.0641777724759116,2.571150438746158,4.0,513.1592279096681,0.014118814019168825,-2.2297446998881506e-05,1.055907548439732
20874.0,-57.0,48.0,2.1213203435596424,2.121320343559643,3.0,515.1340364658299,0.012238267375733731,3.0537194922298984e-06,84.81057901965379
21854.0,-63.3,41.0,12.256711089903646,10.284601754984632,16.0,523.1819961334834,0.012021143053342327,-3.236154710559896e-07,0.18211381918894665
22278.0,-66.1,38.3,27.282361813986583,6.298629521628227,27.999999999999996,526.3569788018367,0.026621099109519614,1.0297774280969217e-06,0.4553018589594902
22495.0,-63.6,37.0,34.0,6.245698675651501e-15,34.0,537.9996239284146,0.03139315115771492,1.8559208850861576e-06,0.8800600919050169
23026.0,-57.5,34.0,44.82876141412855,3.922008423644621,45.0,567.2134130912682,0.031159795962378778,1.6954616124821807e-06,1.7562630855238528
23407.0,-53.1,32.0,24.0,4.408728476930472e-15,24.0,588.9093900233764,0.030892204674366826,-2.4357510964669685e-08,0.783033995452366
23566.0,-51.3,31.2,19.890437907365467,2.090569265353067,20.0,598.0413582406072,0.0265795580422291,-3.266886447635336e-07,1.0126162632840936
23820.0,-51.9,30.0,14.488887394336025,3.8822856765378093,15.0,603.1517615082756,0.016616994205948418,7.662598041790165e-07,0.4813509609911934
24259.0,-54.4,28.0,2.0,3.6739403974420594e-16,2.0,608.2202350735132,0.013533722083342432,2.8965789067424652e-05,0.5587900567215205
24981.0,-58.6,25.0,6.427876096865396,-7.660444431189778,10.0,616.1942996535528,0.013547226999301866,-3.4628794013258447e-06,0.2096988146577302
25214.0,-59.9,24.1,15.010109078601761,-7.981016567360137,17.0,618.9166492734703,0.020554305256387188,2.9972129379433576e-07,0.1659417073190304
25240.0,-59.9,24.0,16.3135401666597,-7.607128711332593,18.0,619.6530971239563,0.02117375660495736,5.462384120635433e-07,0.1702243987657614
26045.0,-60.1,21.1,37.30183297101123,-7.250741824308714,38.0,642.2982760005207,0.023321427474369154,7.657996840973832e-07,0.7701141412640691
26380.0,-59.1,20.0,45.82495611222029,-4.009164166392263,45.99999999999999,655.2705554755225,0.0251834364245379,6.929964302319938e-07,1.1611487310861428
26706.0,-57.4,19.0,51.0,9.368548013477251e-15,51.0,670.2352644441205,0.02605577477914567,7.668937909519545e-07,2.5133906359329976
27413.0,-53.7,17.0,54.790708395046,4.793565851121204,55.0,703.7642370551765,0.026054786997625277,7.354601542823155e-07,5.22796960168648
27602.0,-52.7,16.5,51.80212430077077,4.5320986228782285,52.0,713.0331069552105,0.024182078822748636,4.86683544984223e-07,2.172400436883274
28213.0,-54.7,15.0,40.84398262176157,3.573385452653988,41.0,726.0891530799877,0.0172658982125435,-5.00587022810571e-07,4.521289108502837
28474.0,-55.5,14.4,42.99345089172483,0.7504534768031904,43.0,731.925703386941,0.01934272312350575,-3.4083931603399247e-07,2.0994753820990084
29654.0,-48.9,12.0,48.29629131445342,-12.940952255126014,50.0,794.4866707151256,0.025958538182195876,2.631268996601722e-07,5.387227589406587
29763.0,-48.3,11.8,49.485082040075824,-12.33801667558304,51.0,800.4507904292532,0.025452056222690186,,4.458039177155891
30850.0,-48.7,10.0,57.77929248932124,-5.055033079364158,58.00000000000001,837.7599791724947,0.01742089628631436,,
31186.0,-49.9,9.5,,,,845.5952144147664,0.01644786856279842,,
